student_id,gender,age,study_hours_per_day,attendance_percentage,sleep_hours,previous_score,extracurricular,internet_access,parent_education_level,exam_score
88,Female,18,7,92,8,83,No,Yes,Postgraduate,90
89,Male,20,3,66,5,56,Yes,No,High School,57
90,Female,21,6,85,7,75,Yes,Yes,Graduate,80
91,Male,19,5,83,7,73,No,Yes,Graduate,77
92,Female,22,8,93,8,84,No,Yes,Postgraduate,91
93,Male,18,4,76,6,66,Yes,Yes,High School,69
94,Female,20,6,87,7,77,Yes,Yes,Graduate,82
95,Male,21,2,62,5,53,No,No,High School,54
96,Female,19,7,90,8,81,No,Yes,Postgraduate,88
97,Male,22,5,81,7,71,Yes,Yes,Graduate,75
98,Female,18,3,67,5,57,No,No,High School,58
99,Male,20,9,97,8,89,No,Yes,Postgraduate,96
100,Female,21,4,77,6,67,Yes,Yes,Graduate,71
